"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",109413.092710319,189408.068374473,72037.1218437914,64561.1636257247
"2","2020-01-28 UTC--2021-01-28 UTC",0,29418.1170461655,37375.9708665277,247667.582062735
"3","2021-01-28 UTC--2022-01-28 UTC",51297.8487713474,47243.3352531913,11870.1645628548,264965.455417337
"4","2022-01-28 UTC--2023-01-28 UTC",21690.1843970205,75289.5461440215,49396.2761357516,369201.304181176
"5","2023-01-28 UTC--2024-01-28 UTC",74339.4090583073,121830.688088425,48543.717702994,451325.549931785
