"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",53567.1405190626,82410.9854139425,0,0
"2","2020-01-28 UTC--2021-01-28 UTC",50378.1340941438,49912.3626712547,53567.1405190626,96420.8529343128
"3","2021-01-28 UTC--2022-01-28 UTC",99017.6248023125,167345.857352242,50378.1340941438,158788.017702237
"4","2022-01-28 UTC--2023-01-28 UTC",133879.438652594,263316.58758519,99017.6248023125,371857.473797326
"5","2023-01-28 UTC--2024-01-28 UTC",96538.7004998515,214834.343324885,133879.438652594,651849.50356167
