"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","    0.00","53567.14","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","50378.13","    0.00","    0.00","    0.00","52481.87","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","46535.76","    0.00","47234.94","    0.00","    0.00","    0.00","    0.00","43492.77","43151.72","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","45310.30","    0.00","    0.00","    0.00","    0.00","51228.40","    0.00","    0.00","    0.00","    0.00","    0.00"
"Monthly fees","    0.000","    0.000"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099"," 8241.099","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"," 8396.356"," 8396.356"," 8396.356"," 8396.356","15893.765","15893.765","15893.765","15893.765","15893.765","15893.765","15893.765","15893.765"," 7497.410"," 7497.410","16804.561","16804.561","24677.052","24677.052","17179.642","17179.642","17179.642","24428.437","29822.403","29822.403","20515.251","20515.251","20515.251","20515.251","12642.761","19115.661","19115.661","19115.661","19115.661","11866.865","19748.158","19748.158","19748.158","19748.158","14354.192"
"Final fees","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","53567.14","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","50378.13","    0.00","    0.00","    0.00","    0.00","    0.00","52481.87","    0.00","    0.00","    0.00","    0.00","    0.00","46535.76","    0.00","    0.00","    0.00","47234.94","    0.00","    0.00","    0.00","    0.00","43492.77","    0.00","    0.00","    0.00","    0.00","43151.72","    0.00"
"Monthly rents","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","10713.43","20789.05","20789.05","20789.05","20789.05","20789.05","20789.05","31285.43","31285.43","31285.43","31285.43","31285.43","31285.43","40592.58","40592.58","40592.58","40592.58","50039.57","50039.57","50039.57","50039.57","50039.57","58738.12","58738.12","58738.12","58738.12","58738.12","67368.47"
