"","1","2","3","4","5"
"Period","2019-01-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2024-01-28 UTC"
"Monthly rents","       0","  621438"," 9008713","13670645","21067713"
