"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",813296.350886653,940760.365163353,0,0
"2","2020-01-28 UTC--2021-01-28 UTC",0,685832.336609953,813296.350886653,893199.177305842
"3","2021-01-28 UTC--2022-01-28 UTC",1160501.19493775,304298.909471957,0,1951911.24212797
"4","2022-01-28 UTC--2023-01-28 UTC",408287.716941301,2079664.49618501,395049.840801434,2109931.17844854
"5","2023-01-28 UTC--2024-01-28 UTC",362265.974076167,1091729.32723891,1173739.07107762,4536529.05761368
