"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","23667.518","24637.828","11703.742","    0.000","    0.000","23169.029","    0.000","    0.000","11008.256","15226.720","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","11870.165","    0.000","12636.757","12671.500","    0.000","14119.427","    0.000","    0.000"," 9968.592","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","11721.592","14790.997","    0.000","    0.000","    0.000","    0.000","11442.611","    0.000","10588.517","11516.455","    0.000","11202.855","14797.974"
"Monthly fees","    0.000","12968.217","20073.141","25925.012","17171.987","17171.987","22153.953","16302.082","12520.215","16189.634","14465.920","14465.920","14465.920","11282.778"," 3669.419","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"," 5935.082"," 5935.082"," 9545.584","15881.334"," 9946.252","17005.966","17005.966","10670.216","15654.511"," 4984.296"," 4984.296"," 4984.296","    0.000","    0.000","    0.000","    0.000","    0.000"," 4688.637","12084.136","12084.136","12084.136","12084.136","    0.000"," 5721.305"," 5721.305","11015.564","16773.792","11052.486","18521.056"
"Final fees","    0.000","    0.000","    0.000","13129.537","    0.000","10537.980","11703.742","11345.601","    0.000","25320.261","    0.000","    0.000","11140.995","15226.720","11008.256","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","11870.165","    0.000","    0.000","12671.500","    0.000","26756.184","    0.000","    0.000"," 9968.592","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","26512.590","    0.000","    0.000","    0.000","    0.000","11442.611","    0.000","10588.517"
"Monthly rents","    0.000","    0.000","    0.000","    0.000"," 2625.907"," 2625.907"," 4733.504"," 7074.252"," 9343.372"," 9343.372","14407.424","14407.424","14407.424","16635.623","19680.967","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","21882.619","24256.651","24256.651","24256.651","26790.951","26790.951","32142.188","32142.188","32142.188","34135.907","34135.907","34135.907","34135.907","34135.907","34135.907","34135.907","34135.907","34135.907","34135.907","39438.425","39438.425","39438.425","39438.425","39438.425","41726.947","41726.947"
