"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",228285.862655679,0,0,21424.2919486818
"2","2020-01-28 UTC--2021-01-28 UTC",259350.624048919,0,0,99505.4782656608
"3","2021-01-28 UTC--2022-01-28 UTC",236000.689201535,0,0,167024.843713843
"4","2022-01-28 UTC--2023-01-28 UTC",277973.97180339,0,0,241802.446056156
"5","2023-01-28 UTC--2024-01-28 UTC",191129.131425961,0,0,318816.874792864
