"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","    0.000","19917.247","30277.500"," 9630.210","20959.955","28179.376","17516.224","21980.378","27277.753","21339.929","19321.633","11885.657","16084.214","18535.598","27868.097","19664.689","44929.876","28652.747","31051.396","43594.070","18303.281","    0.000","    0.000","10666.657"," 8037.829","    0.000","29984.508","39542.627","20449.606"," 8871.478","28776.130","    0.000","10788.908","19125.868","21123.551","49300.183","18864.974","29130.939","48780.774","28356.179","    0.000"," 8149.792"," 6443.905","28249.827","28714.875","18747.062","24782.550","37753.095","15144.270","21051.521","16032.127","10877.141","31290.894","    0.000","16105.651","16746.904","18534.684"," 9668.559","35677.381","    0.000"
"Monthly fees","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Final fees","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monthly rents","    0.0000","    0.0000","    0.0000","  290.2197"," 1254.8687"," 1495.6239"," 1797.5668"," 2496.2125"," 2724.1072"," 2724.1072"," 3714.6215"," 4926.9643"," 5193.3853"," 5707.1466"," 6109.2519"," 6572.6419"," 7019.5294"," 7760.9615"," 8384.3851"," 8702.4712"," 9885.8972","10895.1721","11350.3902","11924.2458","11924.2458","11924.2458","12190.9122","12391.8579","12921.0907","13604.2480","14335.8681","14863.0634","15582.4666","15582.4666","15852.1893","15852.1893","16354.6465","17158.3632","17898.4985","18846.0709","19808.1371","20770.9802","20998.8410","21422.9958","21584.0935","21831.5677","22446.9573","22681.2944","23627.7748","24596.6415","25203.2278","25418.8854","26087.9576","26617.9051","26910.9408","27147.9671","27587.7356","28006.4082","28684.8585","28926.5724"
