"","1","2","3","4","5"
"Year","1","2","3","4","5"
"Start date","2019-01-29","2020-01-29","2021-01-29","2022-01-29","2023-01-29"
"End date","2020-01-29","2021-01-29","2022-01-29","2023-01-29","2024-01-29"
"Advance fees"," 865156.4"," 416725.3"," 403256.2","      0.0","1089008.7"
"Monthly fees","1183010.7","1047372.5"," 635822.4"," 504070.2"," 819292.1"
"Final fees","     0.0","865156.4","416725.3","403256.2","     0.0"
"Monthly rents","      0","1289324","2576446","3237819","4044331"
