"","1","2","3","4","5"
"Year","1","2","3","4","5"
"Start date","2019-01-29","2020-01-29","2021-01-29","2022-01-29","2023-01-29"
"End date","2020-01-29","2021-01-29","2022-01-29","2023-01-29","2024-01-29"
"Advance fees","243384.8","283549.5","218497.1","233264.7","181391.6"
"Monthly fees","0","0","0","0","0"
"Final fees","0","0","0","0","0"
"Monthly rents"," 33743.02"," 93588.81","171838.40","247054.30","312535.52"
