"","1","2","3","4","5"
"Year","1","2","3","4","5"
"Start date","2019-01-29","2020-01-29","2021-01-29","2022-01-29","2023-01-29"
"End date","2020-01-29","2021-01-29","2022-01-29","2023-01-29","2024-01-29"
"Advance fees","173701.2","112070.6","111074.3","149931.0","126621.4"
"Monthly fees","253482.2","260563.1","217087.8","314859.8","228714.8"
"Final fees","113771.17","126543.73"," 92387.32","156700.85","113858.03"
"Monthly rents","  85213.94"," 406267.31"," 695824.94","1005801.37","1322749.31"
