"","1","2","3","4","5"
"Year","1","2","3","4","5"
"Start date","2019-01-29","2020-01-29","2021-01-29","2022-01-29","2023-01-29"
"End date","2020-01-29","2021-01-29","2022-01-29","2023-01-29","2024-01-29"
"Advance fees","345298.7","721516.5","280612.0","374854.5","480783.9"
"Monthly fees"," 496592.8","1114906.4"," 781202.0"," 907700.8"," 819724.7"
"Final fees","153516.8","330391.4","685166.4","464431.6","326840.1"
"Monthly rents","  72165.4"," 672427.8","2181498.2","3091558.5","4046837.8"
