"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",55072.9442155566,50836.563891283,0,0
"2","2020-01-28 UTC--2021-01-28 UTC",152381.527418852,140925.263375274,55072.9442155566,55072.9442155566
"3","2021-01-28 UTC--2022-01-28 UTC",0,214918.294172904,98894.185528031,226433.823634174
"4","2022-01-28 UTC--2023-01-28 UTC",165139.830400932,82695.3975696736,53487.3418908214,487193.263544417
"5","2023-01-28 UTC--2024-01-28 UTC",53859.8608430701,343947.402804754,165139.830400932,583258.895343831
