"","Year","Advance","Development","Final","Rent"
"1",2019,208738.421599377,292219.175420559,64033.7903647856,51227.0322918285
"2",2020,90856.9295843368,273516.777174138,144704.631234591,402414.170097876
"3",2021,0,33454.7497727291,90856.9295843368,691350.137190194
"4",2022,171074.663091404,220676.581917416,80920.7216727428,735212.987175461
"5",2023,52082.5534559215,211436.484419962,92531.7112241234,999881.747433535
"6",2024,0,14201.3667572742,49704.7836504595,204489.464227324
