"","1","2","3","4","5"
"Period","2019-01-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2024-01-28 UTC"
"Advance fees","95023.15","95709.07","88717.71","57914.76","33902.44"
"Monthly fees","137631.93","201125.63","138147.49","167957.68"," 97671.56"
"Final fees","54246.79","98683.99","74187.32","86859.56","57289.49"
"Monthly rents"," 30268.37","252490.87","455536.35","657864.88","804477.39"
