"","1","2","3","4","5"
"Period","2019-01-27 UTC--2020-01-27 UTC","2020-01-27 UTC--2021-01-27 UTC","2021-01-27 UTC--2022-01-27 UTC","2022-01-27 UTC--2023-01-27 UTC","2023-01-27 UTC--2024-01-27 UTC"
"Monthly rents","       0"," 1236396","10135252","15373704","22015803"
