"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",103746.639766455,148827.13884447,65931.8700734696,38035.808676484
"2","2020-01-28 UTC--2021-01-28 UTC",44722.8088565201,148111.758401479,82537.578549505,241348.106013379
"3","2021-01-28 UTC--2022-01-28 UTC",61054.8778370798,122109.75567416,61054.8778370798,367863.384998679
"4","2022-01-28 UTC--2023-01-28 UTC",44752.5976806097,66986.2137652323,23092.3774972578,528673.201357337
"5","2023-01-28 UTC--2024-01-28 UTC",69822.9547493079,117934.852565624,58076.814220025,605053.805908248
