"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","    0.000","13210.339","    0.000","    0.000","15217.877","23946.504","    0.000","13557.150","11308.932","    0.000","    0.000","26505.837","    0.000","    0.000","11854.278","    0.000","    0.000","    0.000","23605.645"," 9262.886","    0.000","    0.000","    0.000","    0.000","    0.000","10669.105","    0.000","23949.469","    0.000","    0.000","13162.985","13273.319","    0.000","    0.000","    0.000","    0.000","12234.860","    0.000","    0.000","10857.518","    0.000","    0.000","10905.106","    0.000","    0.000","10755.114","    0.000","    0.000","    0.000","12420.429","    0.000","    0.000","    0.000","    0.000","11267.542","    0.000","22884.113","10957.475","12293.396","    0.000"
"Monthly fees","    0.000","    0.000"," 8806.892"," 8806.892"," 8806.892","10145.251","21012.719","21012.719","17646.043","23300.509","16856.179","12433.041","16843.184","11188.718","11188.718","15930.429"," 8870.112"," 8870.112"," 4741.711","22444.008","23877.555","12078.605","12078.605","    0.000","    0.000","    0.000"," 3048.316"," 3048.316"," 9482.584"," 9482.584"," 9482.584","16064.077","22700.736","19652.421","19652.421"," 9495.716","    0.000"," 6117.430"," 6117.430"," 6117.430","11546.189"," 5428.759"," 5428.759"," 8155.035"," 2726.277"," 2726.277"," 6311.315"," 6311.315"," 6311.315"," 6311.315","10451.457"," 7725.181"," 4140.143"," 4140.143"," 4140.143"," 8647.159"," 4507.017","17054.961","19794.330","24711.689"
"Final fees","    0.00","    0.00","    0.00","    0.00","13210.34","    0.00","    0.00","15217.88","    0.00","12888.66","11057.84","13557.15","11308.93","    0.00","    0.00","14120.63","    0.00","12385.20","    0.00","11854.28","11798.95","    0.00","21069.58","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","10669.11","    0.00","25676.23","24709.55","    0.00","    0.00","    0.00","    0.00","12234.86","    0.00","    0.00","10857.52","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","10905.11","10755.11","    0.00","    0.00","    0.00","12420.43","    0.00","    0.00","    0.00","23996.17"
"Monthly rents","    0.000","    0.000","    0.000","    0.000","    0.000"," 2642.068"," 2642.068"," 2642.068"," 5685.643"," 5685.643"," 8263.375","10474.944","13186.374","15448.161","15448.161","15448.161","18272.287","18272.287","20749.328","20749.328","23120.184","25479.973","25479.973","29693.890","29693.890","29693.890","29693.890","29693.890","29693.890","29693.890","29693.890","29693.890","29693.890","31827.711","31827.711","36962.956","41904.865","41904.865","41904.865","41904.865","41904.865","44351.837","44351.837","44351.837","46523.341","46523.341","46523.341","46523.341","46523.341","46523.341","46523.341","48704.362","50855.385","50855.385","50855.385","50855.385","53339.471","53339.471","53339.471","53339.471"
