"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",391358.636660006,167725.129997145,0,0
"2","2020-01-28 UTC--2021-01-28 UTC",733153.106654033,1314341.50463346,391358.636660006,78271.7273320012
"3","2021-01-28 UTC--2022-01-28 UTC",0,693228.81370763,401376.934349761,1501188.43607368
"4","2022-01-28 UTC--2023-01-28 UTC",641878.049979374,315350.158322503,331776.172304272,2566117.71503199
"5","2023-01-28 UTC--2024-01-28 UTC",0,914247.890618422,322162.82671022,2827693.31463778
