"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","    0.00","    0.00","94658.39","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","46463.93","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","41424.66","43103.66","    0.00","49430.13","49748.82","    0.00","59084.21","    0.00","    0.00","    0.00","44493.69","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"Monthly fees","    0.000","    0.000","    0.000","14663.785","14663.785","14663.785","14663.785","14663.785","14663.785","14663.785","14663.785","22407.774","22407.774","22407.774","22407.774","14419.670","14419.670"," 7743.988"," 7743.988"," 7743.988"," 7743.988"," 7743.988"," 7743.988","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"," 6904.110","14088.053","14088.053","21692.688","29984.158","29984.158","39831.525","39831.525","39831.525","39831.525","46676.708","46676.708","39772.598","32588.656","32588.656","32588.656"
"Final fees","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","47928.62","    0.00","46729.77","    0.00","    0.00","    0.00","    0.00","    0.00","46463.93","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","41424.66","43103.66","    0.00","    0.00","99178.95"
"Monthly rents","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"," 9585.724"," 9585.724","18931.679","18931.679","18931.679","18931.679","18931.679","18931.679","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","28224.465","36509.397","45130.128","45130.128","45130.128"
