"","Period","Advance fees","Monthly fees","Final fees","Monthly rents"
"1","2019-01-28 UTC--2020-01-28 UTC",326986.883158356,0,0,35530.1820384182
"2","2020-01-28 UTC--2021-01-28 UTC",88385.7514153295,0,0,104200.414203983
"3","2021-01-28 UTC--2022-01-28 UTC",193813.489831001,0,0,144322.993902774
"4","2022-01-28 UTC--2023-01-28 UTC",245908.586651392,0,0,203256.937008721
"5","2023-01-28 UTC--2024-01-28 UTC",172809.348184566,0,0,270043.996000799
