"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Month"," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Period","2019-01-28 UTC--2019-02-28 UTC","2019-02-28 UTC--2019-03-28 UTC","2019-03-28 UTC--2019-04-28 UTC","2019-04-28 UTC--2019-05-28 UTC","2019-05-28 UTC--2019-06-28 UTC","2019-06-28 UTC--2019-07-28 UTC","2019-07-28 UTC--2019-08-28 UTC","2019-08-28 UTC--2019-09-28 UTC","2019-09-28 UTC--2019-10-28 UTC","2019-10-28 UTC--2019-11-28 UTC","2019-11-28 UTC--2019-12-28 UTC","2019-12-28 UTC--2020-01-28 UTC","2020-01-28 UTC--2020-02-28 UTC","2020-02-28 UTC--2020-03-28 UTC","2020-03-28 UTC--2020-04-28 UTC","2020-04-28 UTC--2020-05-28 UTC","2020-05-28 UTC--2020-06-28 UTC","2020-06-28 UTC--2020-07-28 UTC","2020-07-28 UTC--2020-08-28 UTC","2020-08-28 UTC--2020-09-28 UTC","2020-09-28 UTC--2020-10-28 UTC","2020-10-28 UTC--2020-11-28 UTC","2020-11-28 UTC--2020-12-28 UTC","2020-12-28 UTC--2021-01-28 UTC","2021-01-28 UTC--2021-02-28 UTC","2021-02-28 UTC--2021-03-28 UTC","2021-03-28 UTC--2021-04-28 UTC","2021-04-28 UTC--2021-05-28 UTC","2021-05-28 UTC--2021-06-28 UTC","2021-06-28 UTC--2021-07-28 UTC","2021-07-28 UTC--2021-08-28 UTC","2021-08-28 UTC--2021-09-28 UTC","2021-09-28 UTC--2021-10-28 UTC","2021-10-28 UTC--2021-11-28 UTC","2021-11-28 UTC--2021-12-28 UTC","2021-12-28 UTC--2022-01-28 UTC","2022-01-28 UTC--2022-02-28 UTC","2022-02-28 UTC--2022-03-28 UTC","2022-03-28 UTC--2022-04-28 UTC","2022-04-28 UTC--2022-05-28 UTC","2022-05-28 UTC--2022-06-28 UTC","2022-06-28 UTC--2022-07-28 UTC","2022-07-28 UTC--2022-08-28 UTC","2022-08-28 UTC--2022-09-28 UTC","2022-09-28 UTC--2022-10-28 UTC","2022-10-28 UTC--2022-11-28 UTC","2022-11-28 UTC--2022-12-28 UTC","2022-12-28 UTC--2023-01-28 UTC","2023-01-28 UTC--2023-02-28 UTC","2023-02-28 UTC--2023-03-28 UTC","2023-03-28 UTC--2023-04-28 UTC","2023-04-28 UTC--2023-05-28 UTC","2023-05-28 UTC--2023-06-28 UTC","2023-06-28 UTC--2023-07-28 UTC","2023-07-28 UTC--2023-08-28 UTC","2023-08-28 UTC--2023-09-28 UTC","2023-09-28 UTC--2023-10-28 UTC","2023-10-28 UTC--2023-11-28 UTC","2023-11-28 UTC--2023-12-28 UTC","2023-12-28 UTC--2024-01-28 UTC"
"Advance fees","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","360679.2","400278.3","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","364224.4","360696.5","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","704349.1","     0.0","     0.0","395096.5","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","375469.0","     0.0","     0.0","     0.0","     0.0","322154.3"
"Monthly fees","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00"," 55489.10","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90","105523.90"," 50034.79"," 50034.79"," 50034.79"," 50034.79","     0.00"," 48563.26"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 96656.12"," 48092.86","     0.00"," 91169.52"," 91169.52"," 91169.52","147611.87","147611.87","147611.87","147611.87","147611.87","147611.87","147611.87","197674.41","197674.41","197674.41","197674.41","197674.41"
"Final fees","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","360679.2","     0.0","     0.0","     0.0","400278.3","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","364224.4","360696.5","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","     0.0","375105.6"
"Monthly rents","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00","     0.00"," 72135.84"," 72135.84"," 72135.84"," 72135.84","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","152191.50","225036.39","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69","297175.69"
