"","Year","Advance","Development","Final","Rent"
"1",2019,138038.16149507,0,0,11863.9909815451
"2",2020,261245.680391023,0,0,72280.4277287682
"3",2021,146338.959449845,0,0,132571.372738915
"4",2022,208913.241785786,0,0,185231.094218015
"5",2023,152032.65541826,0,0,236981.803782479
"6",2024,24503.1054568324,0,0,40330.1588834058
